grid_id,grid_lat,grid_lon,stop_count,yolcu_per_stop,sefer_per_stop,kapasite_per_stop,doluluk_orani,kapasite_kullanimi,reconstruction_error,anomaly_autoencoder,anomaly_score_if,anomaly_isolation_forest,lof_score,anomaly_lof,graph_anomaly_score,anomaly_graph,anomaly_count,anomaly_consensus
39.5045_32.9529,39.5045045045045,32.95294117647059,2.0,0.04212848294746366,0.0014567733585798184,0.2047388167940148,20.35587002096436,20.31363338209482,0.000973663074312192,False,-0.40399897666457435,False,-0.9817372131211439,False,0.03416842207394023,False,0,False
39.5135_32.5647,39.51351351351352,32.56470588235294,4.0,0.12068711048900438,0.0036612248201524046,0.5129047462614086,23.83490566037736,24.10870011240631,0.0009702362663866129,False,-0.38873290347071926,False,-0.9958048389908397,False,34.86431461432371,True,1,False
39.5135_32.8353,39.51351351351352,32.83529411764706,1.0,0.23695538480106204,0.008247173834332355,1.1444261173914794,20.72641509433962,20.69699452225807,0.00056718074541419,False,-0.4005172637323241,False,-0.9871902888701698,False,0.011716279803170741,False,0,False
39.5135_32.8588,39.51351351351352,32.858823529411765,1.0,0.38439802099961334,0.009776023954233094,1.3671759585163445,28.114255765199164,28.140153225832282,0.00021255119190098212,False,-0.38095118262253963,False,-1.0171885510541687,False,0.5079445612398014,False,0,False
39.5135_32.9412,39.51351351351352,32.94117647058823,4.0,0.06319272442119551,0.0021851600378697228,0.30710822519102215,20.35587002096436,20.31363338209482,0.0016152249494822831,False,-0.4030102425310128,False,-1.000070209239495,False,0.03402689021233807,False,0,False
39.5135_32.9765,39.51351351351352,32.976470588235294,2.0,0.04212848294746366,0.0014567733585798184,0.2047388167940148,20.35587002096436,20.31363338209482,0.000973663074312192,False,-0.40399897666457435,False,-0.9817372131211439,False,34.86431461432371,True,1,False
39.5225_32.6471,39.52252252252252,32.64705882352941,2.0,0.343655527921661,0.011163677842810877,1.5624162412501323,22.447589098532493,22.501033648472067,0.00047012475368866653,False,-0.39226951321283404,False,-0.9989830370949768,False,34.86431461432371,True,1,False
39.5225_32.8,39.52252252252252,32.8,2.0,0.13251109215464754,0.0027389328218801415,0.3849092912684941,34.14019916142558,35.45818363151831,0.0007425461910604506,False,-0.3694001824073425,False,-1.9348799784663455,True,0.03402689021233807,False,1,False
39.5225_32.8353,39.52252252252252,32.83529411764706,1.0,0.15797025653404134,0.005498115889554888,0.7629507449276528,20.72641509433962,20.69699452225807,0.0006200489345138294,False,-0.4005221850699692,False,-0.9859521734964154,False,0.011716279803170741,False,0,False
39.5225_32.8588,39.52252252252252,32.858823529411765,17.88050314465409,0.48723883633647463,0.014784931031090447,2.0625246103122747,21.939542159134426,23.721875004438097,0.01373869104246119,False,-0.4196656804826633,False,-1.3835260024701188,False,0.2766788638029923,False,0,False
