hat_no,hat_adi,sefer_sayisi,tren_sayisi,yolcu_kapasitesi,tasinan_yolcu,doluluk_orani,pdf_id,tarih
M1-M2-M3,ÇAYYOLU (M2)-BATIKENT (M1)-SİNCAN (M3) METRO,268,22,431480,225554,52,31558,2023-12-24
M4,KEÇİÖREN METRO,218,5,350980,31596,9,31558,2023-12-24
A1,ANKARAY,135,5,133650,95575,72,31558,2023-12-24
T1TELEFERİK,,0,0,0,0,0,31558,2023-12-24
M4,KEÇ İÖREN METRO,236,7,379960,49656,13,31564,2023-12-25
A1,ANKARAY,196,8,194040,139908,72,31564,2023-12-25
T1,TELEFER İK2,4,7,9,35500,7714,31564,2023-12-25
M1-M2-M3,ÇAYYOLU (M2)-BATIKENT (M1)-SİNCAN (M3) METRO,357,38,574770,413697,72,31574,2023-12-26
M4,KEÇİÖREN METRO,236,7,379960,50314,13,31574,2023-12-26
A1,ANKARAY,197,8,195030,138794,71,31574,2023-12-26
T1,TELEFERİK,24,79,35500,7913,22,31574,2023-12-26
M1-M2-M3,ÇAYYOLU (M2)-BATIKENT (M1)-SİNCAN (M3) METRO,351,38,565110,413471,73,31580,2023-12-27
M4,KEÇİÖREN METRO,238,7,383180,49869,13,31580,2023-12-27
A1,ANKARAY,192,8,190080,138843,73,31580,2023-12-27
T1,TELEFERİK,24,79,35500,7907,22,31580,2023-12-27
M1-M2-M3,ÇAYYOLU (M2)-BATIKENT (M1)-SİNCAN (M3) METRO,351,39,565110,416872,74,31582,2023-12-28
M4,KEÇİÖREN METRO,236,7,379960,49729,13,31582,2023-12-28
A1,ANKARAY,187,8,185130,140953,76,31582,2023-12-28
T1,TELEFERİK,24,79,35500,7922,0,31582,2023-12-28
M1-M2-M3,ÇAYYOLU (M2)-BATIKENT (M1)-SİNCAN (M3) METRO,361,38,581210,422233,74,31608,2023-12-29
M4,KEÇİÖREN METRO,236,7,379960,48991,13,31608,2023-12-29
A1,ANKARAY,193,8,191070,145819,76,31608,2023-12-29
T1,TELEFERİK,24,79,35500,8109,22,31608,2023-12-29
M1-M2-M3,ÇAYYOLU (M2)-BATIKENT (M1)-SİNCAN (M3) METRO,285,26,458850,301348,66,31609,2023-12-30
M4,KEÇİÖREN METRO,216,6,347760,33069,10,31609,2023-12-30
A1,ANKARAY,160,6,158400,100856,64,31609,2023-12-30
T1,TELEFERİK,24,79,35500,6315,18,31609,2023-12-30
M1-M2-M3,ÇAYYOLU (M2)-BATIKENT (M1)-SİNCAN (M3) METRO,280,22,450800,214007,47,31610,2023-12-31
M4,KEÇİÖREN METRO,220,5,354200,26004,7,31610,2023-12-31
A1,ANKARAY,168,6,166320,76650,46,31610,2023-12-31
T1,TELEFERİK,24,79,35500,5548,16,31610,2023-12-31
M1-M2-M3,ÇAYYOLU (M2)-BATIKENT (M1)-SİNCAN (M3) METRO,284,22,457240,178531,39,31611,2024-01-01
M4,KEÇİÖREN METRO,202,5,325220,22368,7,31611,2024-01-01
A1,ANKARAY,162,6,160380,75403,47,31611,2024-01-01
T1,TELEFERİK,24,79,35500,4951,14,31611,2024-01-01
M1-M2-M3,ÇAYYOLU (M2)-BATIKENT (M1)-SİNCAN (M3) METRO,351,38,565110,385827,68,31631,2024-01-02
M4,KEÇİÖREN METRO,236,7,379960,48978,13,31631,2024-01-02
A1,ANKARAY,197,8,195030,133850,69,31631,2024-01-02
T1,TELEFERİK,24,79,35500,7518,21,31631,2024-01-02
M1-M2-M3,ÇAYYOLU (M2)-BATIKENT (M1)-SİNCAN (M3) METRO,352,37,566720,394943,70,31632,2024-01-03
M4,KEÇİÖREN METRO,238,7,383180,47755,12,31632,2024-01-03
A1,ANKARAY,197,8,195030,129903,67,31632,2024-01-03
T1,TELEFERİK,24,79,35500,7559,21,31632,2024-01-03
M1-M2-M3,ÇAYYOLU (M2)-BATIKENT (M1)-SİNCAN (M3) METRO,358,38,576380,393200,68,31633,2024-01-04
M4,KEÇİÖREN METRO,236,7,379960,47531,13,31633,2024-01-04
A1,ANKARAY,196,8,194040,126133,65,31633,2024-01-04
T1,TELEFERİK,24,79,35500,7473,21,31633,2024-01-04
M1-M2-M3,ÇAYYOLU (M2)-BATIKENT (M1)-SİNCAN (M3) METRO,354,38,569940,401456,70,31639,2024-01-05
M4,KEÇİÖREN METRO,236,7,379960,47676,13,31639,2024-01-05
A1,ANKARAY,196,8,194040,130272,67,31639,2024-01-05
T1,TELEFERİK,24,79,35500,3557,10,31639,2024-01-05
M1-M2-M3,ÇAYYOLU (M2)-BATIKENT (M1)-SİNCAN (M3) METRO,309,26,497490,303128,61,31640,2024-01-06
M4,KEÇİÖREN METRO,216,6,347760,33099,10,31640,2024-01-06
A1,ANKARAY,162,6,160380,92230,58,31640,2024-01-06
T1,TELEFERİK,70,38,52615,4161,8,31640,2024-01-06
M1-M2-M3,ÇAYYOLU (M2)-BATIKENT (M1)-SİNCAN (M3) METRO,262,22,421820,194551,46,31641,2024-01-07
M4,KEÇİÖREN METRO,202,5,325220,23058,7,31641,2024-01-07
A1,ANKARAY,135,5,133650,67719,51,31641,2024-01-07
T1,TELEFERİK,70,38,52615,2968,6,31641,2024-01-07
M1-M2-M3,ÇAYYOLU (M2)-BATIKENT (M1)-SİNCAN (M3) METRO,348,38,560280,385759,69,31643,2024-01-08
M4,KEÇİÖREN METRO,238,7,383180,49795,13,31643,2024-01-08
