hat_adi,sira,durak_kodu,durak_adi,adres
101,1,14043,GÖLBAŞI HAREKET NOKTASI,"Ankara, Bahçelievler Mh.35.Cd.Gölbaşı"
101,2,14687,35.CD.,"Ankara, Bahçelievler Mh.35.Cd.Gölbaşı"
101,3,14044,KIR ÇİÇEĞİ EVLERİ,"Ankara, Bahçelievler Mh.35.Cd.Gölbaşı"
101,4,14194,35.CD.,"Ankara, Bahçelievler Mh.35.Cd.Gölbaşı"
101,5,13805,MİLLİ İRADE ÖĞRENCİ YURDU,"Ankara, Bahçelievler Mh.Mh.35.Cd.Gölbaşı"
101,6,13806,GÖLBAŞI ŞEHİT ÖZEL HAREKATÇILAR ÖĞRENCİ YURDU,"Ankara, Bahçelievler Mh.Mh.35.Cd.Gölbaşı"
101,7,13185,ANKARA ÜNİVERSİTESİ TEKNOKENT,"Ankara, Bahçelievler Mh.Mh.319.Sk.Gölbaşı"
101,8,12579,ÖĞRENCİ YURTLARI,"Ankara, Bahçelievler Mh.319.Sk.Gölbaşı"
101,9,12514,CUMHURİYET PARKI,"Ankara, Bahçelievler Mh.319.Sk.Gölbaşı"
101,10,11323,GÖLBAŞI BELEDİYESİ,"Ankara, Gaziosmanpaşa Mh.Sahil Cd.Gölbaşı"
101,11,11260,JANDARMA,"Ankara, Gaziosmanpaşa Mh.Şht.Ali Gaffar Okan Cd.Gölbaşı"
101,12,11258,BALDUDAK İLKOKULU,"Ankara, Karşıyaka Mh.İlkokul Sk.Gölbaşı"
101,13,11171,CEMRE PARKI,"Ankara, Karşıyaka Mh.Haymana Yolu Blv.Gölbaşı"
101,14,11170,774 SK.,"Ankara, Karşıyaka Mh.Haymana Yolu Blv.Gölbaşı"
101,15,11178,GÜZEL YALI EVLERİ,"Ankara, Karşıyaka Mh.Haymana Yolu Blv.Gölbaşı"
101,16,11180,GÖLKONAKLARI,"Ankara, Karşıyaka Mh.Haymana Yolu Blv.Gölbaşı"
101,17,11182,MOGAN PARK,"Ankara, Karşıyaka Mh.Haymana Yolu Blv.Gölbaşı"
101,18,11183,PATALYA HOTEL,"Ankara, Karşıyaka Mh.612 Cd.Gölbaşı"
101,19,14365,607.CD.,"Ankara, Karşıyaka Mh.612.Cd.Gölbaşı"
101,20,11174,GÜNEY SİTESİ,"Ankara, Karşıyaka Mh.Yıldırım Cd.Gölbaşı"
101,21,10268,YILDIRIM CD.,"Ankara, -"
101,22,11187,KARÇİÇEĞİ SİTESİ,"Ankara, Karşıyaka Mh.Mh.601.Sk.Gölbaşı"
101,23,11169,ŞİRİNGÖLKÖY SİTESİ,"Ankara, Karşıyaka Mh.Söğüt Sk.Gölbaşı"
101,24,11168,NESİBE AYDIN OKULLARI,"Ankara, Karşıyaka Mh.Söğüt Sk.Gölbaşı"
101,25,10401,VİLLA KUR SİTESİ,"Ankara, Karşıyaka Mh.492.Cd.Gölbaşı"
101,26,13951,492.CD.,"Ankara, Karşıyaka Mh.492.Cd.Gölbaşı"
101,27,12727,FİZİKÇİLER SİTESİ,"Ankara, Karşıyaka Mh.Mh.547.Sk.Gölbaşı"
101,28,12707,ÇEVİKER KONAKLARI,"Ankara, Karşıyaka Mh.Mh.492.Cd.Gölbaşı"
101,29,11167,ESKİDOSTLAR SİTESİ,"Ankara, Karşıyaka Mh.538.Sk.Gölbaşı"
101,30,10550,YEŞİL SİTE,"Ankara, Karşıyaka Mh.538.Sk.Gölbaşı"
101,31,11879,CEMİL ÖZGÜR VİLLALARI,"Ankara, Karşıyaka Mh.538.Sk.Gölbaşı"
101,32,10297,ENDA KONUTLARI,"Ankara, Karşıyaka Mh.538.Cd.Gölbaşı"
101,33,11871,ÇEVRE VE ORMAN BAKANLIĞI LABARATUVARI,"Ankara, Karşıyaka Mh.Gölbaşı Haymana Yolu Gölbaşı"
101,34,14142,438.CD.,"Ankara, Karşıyaka Mh.441.Cd.Gölbaşı"
101,35,14122,441.SK.,"Ankara, Karşıyaka Mh.441.Cd.Gölbaşı"
101,36,14123,KIREVLERİ DURAĞI,"Ankara, Karşıyaka Mh.441.Cd.Gölbaşı"
101,37,14556,NİLÜFER SK.,"Ankara, Karşıyaka Mh.441.Cd.Gölbaşı"
101,38,11880,GÖKKUŞAĞI SİTESİ,"Ankara, Karşıyaka Mh.464.Sk.Gölbaşı"
101,39,11881,ÜÇHİSAR SİTESİ,"Ankara, Karşıyaka Mh.464.Sk.Gölbaşı"
101,40,14610,HACILAR BLV.,"Ankara, Karşıyaka Mh.Hacılar Blv.Gölbaşı"
101,41,11876,431.SK.,"Ankara, Hacıhasan Mh.Gölbaşı Haymana Yolu Gölbaşı"
101,42,14379,HAYMANA YOLU,"Ankara, Hacıhasan Mh.Haymana Yolu Blv.Gölbaşı"
101,43,11858,HACI HASAN KAVŞAĞI,"Ankara, Karşıyaka Mh.Gölbaşı Haymana Yolu Gölbaşı"
101,44,14380,HAYMANA YOLU,"Ankara, Karşıyaka Mh.Haymana Yolu Blv.Gölbaşı"
101,45,10883,DEMKA TEL ÖRGÜ,"Ankara, Karşıyaka Mh.Mh.Gölbaşı Haymana Yolu Gölbaşı"
101,46,11875,HACILAR KAVŞAĞI,"Ankara, Karşıyaka Mh.Gölbaşı Haymana Yolu Gölbaşı"
101,47,11868,AQUAPARK,"Ankara, Karşıyaka Mh.Gölbaşı Haymana Yolu Gölbaşı"
101,48,11870,ÇEVRE VE ORMAN BAKANLIĞI LABARATUVARI,"Ankara, Karşıyaka Mh.Gölbaşı Haymana Yolu Gölbaşı"
101,49,11185,SAYIŞTAY EĞİTİM MERKEZİ,"Ankara, Karşıyaka Mh.Gölbaşı Haymana Yolu Gölbaşı"
101,50,11186,PATALYA OTEL,"Ankara, Karşıyaka Mh.Gölbaşı Haymana Yolu Gölbaşı"
101,51,11181,MOGAN PARKI,"Ankara, Karşıyaka Mh.Haymana Yolu Blv.Gölbaşı"
101,52,11179,GÖLKONAKLARI,"Ankara, Karşıyaka Mh.Haymana Yolu Blv.Gölbaşı"
101,53,11177,GÜZEL YALI EVLERİ,"Ankara, Karşıyaka Mh.Haymana Yolu Blv.Gölbaşı"
101,54,11166,774 SK.,"Ankara, Karşıyaka Mh.Haymana Yolu Blv.Gölbaşı"
101,55,11173,CEMRE PARKI,"Ankara, Karşıyaka Mh.Haymana Yolu Blv.Gölbaşı"
101,56,13222,DARÜŞŞİFA,"Ankara, -"
101,57,13223,MESLEK LİSESİ,"Ankara, -"
101,58,11269,YUNUS EMRE PARKI,"Ankara, Karşıyaka Mh.Yaylabağ Cd.Gölbaşı"
101,59,13224,ŞEHİT GAFFAR OKKAN,"Ankara, -"
101,60,13225,OSMANLI PARKI,"Ankara, -"
101,61,11261,JANDARMA,"Ankara, Gaziosmanpaşa Mh.Şht.Ali Gaffar Okan Cd.Gölbaşı"
