hat,sira,istasyon,istasyon_osm,lat,lon,source
M1,1,Kızılay,15 Temmuz Kızılay Millî İrade,39.920537,32.8539508,osm
M1,2,Sıhhiye,Sıhhiye,39.9281643,32.8550777,osm
M1,3,Ulus,Ulus,39.9392197,32.8506708,osm
M1,4,Atatürk Kültür Merkezi,Atatürk Kültür Merkezi,39.9435727,32.8451553,osm
M1,5,Akköprü,Akköprü,39.9515913,32.834168,osm
M1,6,İvedik,İvedik,39.9572395,32.8170492,osm
M1,7,Yenimahalle,Yenimahalle,39.9619089,32.8045448,osm
M1,8,Demetevler,Demetevler,39.9655407,32.7935884,osm
M1,9,Hastane,Hastane,39.9691716,32.7834458,osm
M1,10,Macunköy,Macunköy,39.9718746,32.7666244,osm
M1,11,OSTİM,OSTİM,39.9702293,32.7449331,osm
M1,12,Batıkent,Batıkent,39.9681734,32.7267398,osm
M2,1,Kızılay,15 Temmuz Kızılay Millî İrade,39.920537,32.8539508,osm
M2,2,Necatibey,Necatibey,39.9150973,32.8443864,osm
M2,3,Millî Kütüphane,Millî Kütüphane,39.9152297,32.8272158,osm
M2,4,Söğütözü,Söğütözü,39.910638,32.8081227,osm
M2,5,MTA,MTA,39.9088993,32.7963315,osm
M2,6,ODTÜ,ODTÜ,39.9083599,32.7845691,osm
M2,7,Bilkent,Bilkent,39.907552,32.7654021,osm
M2,8,Tarım Bakanlığı-Danıştay,Tarım Bakanlığı-Danıştay,39.9069407,32.750084,osm
M2,9,Beytepe,Beytepe,39.9062214,32.7332714,osm
M2,10,Ümitköy,Ümitköy,39.9053491,32.7078663,osm
M2,11,Çayyolu,Çayyolu,39.8978291,32.6910711,osm
M2,12,Koru,Koru,39.886843,32.6863129,osm
M3,1,Batıkent,Batıkent,39.9681734,32.7267398,osm
M3,2,Batı Merkez,Batı Merkez,39.9677059,32.7153974,osm
M3,3,Mesa,Mesa,39.9716935,32.7030788,osm
M3,4,Botanik,Botanik,39.9807579,32.6941504,osm
M3,5,İstanbul Yolu,İstanbul Yolu,39.9796442,32.6627671,osm
M3,6,Eryaman 1-2,Eryaman 1-2,39.9805004,32.6478121,osm
M3,7,Eryaman 5,Eryaman 5,39.981109,32.6274057,osm
M3,8,Devlet Mah.,Devlet Mahallesi/1910 Ankaragücü,39.9814919,32.6132155,osm
M3,9,Harikalar Diyarı,Harikalar Diyarı,39.9822637,32.5984079,osm
M3,10,Fatih,Fatih,39.9840727,32.5853008,osm
M3,11,GOP,GOP,39.9855529,32.5743392,osm
M3,12,OSB-Törekent,OSB-Törekent,39.9876684,32.5587016,osm
M4,1,Kızılay,15 Temmuz Kızılay Millî İrade,39.920537,32.8539508,osm
M4,2,Adliye,Adliye,39.9305582,32.850394,osm
M4,3,Gar,Gar,39.9339453,32.8425824,osm
M4,4,Atatürk Kültür Merkezi,Atatürk Kültür Merkezi,39.9435727,32.8451553,osm
M4,5,ASKİ,ASKİ,39.9477148,32.8504913,osm
M4,6,Dışkapı,Dışkapı,39.955386,32.8587618,osm
M4,7,Meteoroloji,Meteoroloji,39.9663951,32.8639206,osm
M4,8,Belediye,Belediye,39.9779333,32.8682339,osm
M4,9,Mecidiye,Mecidiye,39.983749,32.8753776,osm
M4,10,Kuyubaşı,Kuyubaşı,39.9903583,32.8755143,osm
M4,11,Dutluk,Dutluk,39.9995399,32.8704178,osm
M4,12,Şehitler,Şehitler,39.9962226,32.8609972,osm
A1,1,AŞTİ,AŞTİ,39.9182467,32.8143741,osm
A1,2,Emek,Emek,39.9232031,32.8148986,osm
A1,3,Bahçelievler,Bahçelievler,39.9311256,32.8199646,osm
A1,4,Beşevler,Beşevler,39.9326548,32.8288782,osm
A1,5,Anadolu,Anadolu/Anıtkabir,39.9347287,32.8373663,osm
A1,6,Maltepe,Maltepe,39.9323856,32.8426667,osm
A1,7,Demirtepe,Demirtepe,39.9257178,32.8476875,osm
A1,8,Kızılay,15 Temmuz Kızılay Millî İrade,39.920537,32.8539508,osm
A1,9,Kolej,Kolej,39.9234186,32.861441,osm
A1,10,Kurtuluş,Kurtuluş,39.9283131,32.8684395,osm
A1,11,Dikimevi,Dikimevi,39.9325882,32.8780219,osm
